time_s,centroid_error_m,pointing_error_deg,axis_error_deg,edge_rms_m,edge_max_m,minimum_separation_m,planarity_m,snr_dB,coherent_loss_dB,fixed_plane_snr_dB
1,0.110611932809969,5.27154337248619,5.27154337248619,0.00193971755943212,0.00295383240745739,1.38268681364764,2.59382252137511e-16,91.9635757433333,0.0976648257903581,92.0606730702742
1.02,0.108730018097633,5.15976567225477,5.15976567225477,0.00196987715114396,0.00290551243700321,1.3827351336181,1.51176614174929e-16,91.9668017321368,0.0935116156318787,92.0597609114282
1.04,0.106888769953304,5.05026339892396,5.05026339892396,0.00198389354245538,0.00281038036137438,1.38283026569373,1.64204199767915e-16,91.9698698886048,0.0895359038640147,92.0588685031696
1.06,0.105086836088066,4.94287646597219,4.94287646597219,0.00197490438775172,0.00267018497656468,1.38297046107854,4.80740671595891e-17,91.9727908002474,0.0857267170170636,92.0579955204374
1.08,0.103322852258765,4.8374599530756,4.8374599530756,0.00193866402154417,0.00248762557251925,1.38315302048258,1.52023548612203e-16,91.9755741652968,0.0820739874141302,92.0571416240248
1.1,0.101595458254378,4.7338856604826,4.7338856604826,0.00187322608039039,0.0022662860043392,1.38337436005076,1.15555676109332e-16,91.9782287904541,0.0785685607280318,92.0563064667465
1.12,0.0999033116293508,4.63204315728259,4.63204315728259,0.00177864515222547,0.00205626935393788,1.38358437670116,3.83589686711185e-16,91.9807626063651,0.07520218436106,92.0554896987923
1.14,0.098245099244117,4.53184033539629,4.53184033539629,0.00165674943006063,0.0019679472400691,1.38367269881503,5.06745162040676e-17,91.9831826986048,0.0719674788649336,92.0546909721929
1.16,0.0966195467067269,4.43320349139649,4.43320349139649,0.00151101666366923,0.00183911242630574,1.3838015336288,1.41526221675092e-16,91.9854953518844,0.0688578947345516,92.0539099443749
1.18,0.0950254258427914,4.33607696731379,4.33607696731379,0.00134660677495267,0.00167452819553215,1.38396611785957,2.72419713904338e-16,91.9877061051667,0.0658676569885213,92.0531462808176
1.2,0.0934615603509332,4.2404223894102,4.2404223894102,0.00117066936731986,0.00147962011173486,1.38416102594337,1.40616075760831e-16,91.9898198153822,0.0629916999899699,92.0523996568716
1.22,0.0919268298252543,4.14621755032353,4.14621755032353,0.000993172760008193,0.0012603249815768,1.38438032107353,3.06151254491706e-16,91.9918407274738,0.0602255949630339,92.0516697588332
1.24,0.0904201723430968,4.05345498490201,4.05345498490201,0.00082864446009854,0.00102293277071541,1.38461771328439,1.44222201478767e-16,91.99377254857,0.0575654726199113,92.0509562843956
1.26,0.0889405858245468,3.96214029361574,3.96214029361574,0.000698667921910187,0.000892988632594349,1.38474765742251,1.6342040436301e-16,91.9956185241826,0.0550079432303096,92.0502589426145
1.28,0.0874871283693704,3.87229026946875,3.87229026946875,0.000630714420408955,0.000767644409509716,1.38487300164559,4.0729199093102e-16,91.9973815144578,0.0525500163385777,92.0495774535324
